n,h1,observed,old_theory,new_theory,old_error_%,new_error_%,improvement_%,bias_term,var_0_term,var_2_term
20,2.000000e+00,5.833872e-01,1.872889e+00,1.320930e+00,2.210371e+02,1.264242e+02,4.280408e+01,0.000000e+00,1.753857e+00,-9.001782e-03
20,4.000000e+00,4.600973e-01,4.682224e-01,3.171976e-01,1.765947e+00,3.105858e+01,-1.658750e+03,0.000000e+00,1.096161e-01,-9.001782e-03
20,7.000000e+00,3.564829e-01,1.528889e-01,5.182404e-02,5.711184e+01,8.546240e+01,-4.964043e+01,0.000000e+00,1.168751e-02,-9.001782e-03
20,1.200000e+01,3.963330e-01,5.202471e-02,,8.687349e+01,,,0.000000e+00,1.353285e-03,-9.001782e-03
50,2.000000e+00,4.166398e-01,3.054813e+00,2.159245e+00,6.332023e+02,4.182523e+02,3.394651e+01,0.000000e+00,4.665941e+00,-3.600713e-03
50,4.000000e+00,5.386754e-01,7.637032e-01,5.366755e-01,4.177429e+01,3.712642e-01,9.911126e+01,0.000000e+00,2.916213e-01,-3.600713e-03
50,7.000000e+00,3.342234e-01,2.493725e-01,1.658089e-01,2.538748e+01,5.038979e+01,-9.848279e+01,0.000000e+00,3.109332e-02,-3.600713e-03
50,1.200000e+01,2.077352e-01,8.485591e-02,,5.915188e+01,,,0.000000e+00,3.600263e-03,-3.600713e-03
100,2.000000e+00,4.503591e-01,4.364241e+00,3.085693e+00,8.690581e+02,5.851628e+02,3.266701e+01,0.000000e+00,9.523300e+00,-1.800356e-03
100,4.000000e+00,4.517387e-01,1.091060e+00,7.703284e-01,1.415246e+02,7.052522e+01,5.016753e+01,0.000000e+00,5.952063e-01,-1.800356e-03
100,7.000000e+00,4.471390e-01,3.562646e-01,2.483181e-01,2.032352e+01,4.446512e+01,-1.187865e+02,0.000000e+00,6.346222e-02,-1.800356e-03
100,1.200000e+01,1.854584e-01,1.212289e-01,7.448402e-02,3.463282e+01,5.983788e+01,-7.277798e+01,0.000000e+00,7.348225e-03,-1.800356e-03
200,2.000000e+00,3.120304e-01,6.203140e+00,4.386180e+00,1.887993e+03,1.305690e+03,3.084241e+01,0.000000e+00,1.923948e+01,-9.001782e-04
200,4.000000e+00,3.898767e-01,1.550785e+00,1.096160e+00,2.977630e+02,1.811556e+02,3.916114e+01,0.000000e+00,1.202467e+00,-9.001782e-04
200,7.000000e+00,3.627436e-01,5.063788e-01,3.568047e-01,3.959689e+01,1.637228e+00,9.586526e+01,0.000000e+00,1.282098e-01,-9.001782e-04
200,1.200000e+01,1.910966e-01,1.723095e-01,1.180894e-01,9.831240e+00,3.820437e+01,-2.886018e+02,0.000000e+00,1.484527e-02,-9.001782e-04
